            # x            y_Lagrange              y_Newton              y_Spline              y_Exacta
   -0.748000000000E+01    0.142466140020E+02    0.142466140020E+02    0.288370286968E+01    0.291228980460E+01
   -0.744000000000E+01    0.132779708077E+02    0.132779708077E+02    0.284005290741E+01    0.286877047243E+01
   -0.740000000000E+01    0.122350351304E+02    0.122350351304E+02    0.279724889302E+01    0.282560000564E+01
   -0.736000000000E+01    0.111457207487E+02    0.111457207487E+02    0.275544768139E+01    0.278293228005E+01
   -0.732000000000E+01    0.100350336120E+02    0.100350336120E+02    0.271480612742E+01    0.274092910695E+01
   -0.728000000000E+01    0.892506004995E+01    0.892506004995E+01    0.267548108599E+01    0.269975955522E+01
   -0.724000000000E+01    0.783500246060E+01    0.783500246060E+01    0.263762941201E+01    0.265959918261E+01
   -0.720000000000E+01    0.678125517514E+01    0.678125517514E+01    0.260140796035E+01    0.262062917704E+01
   -0.716000000000E+01    0.577751369121E+01    0.577751369121E+01    0.256697358592E+01    0.258303540979E+01
   -0.712000000000E+01    0.483491097581E+01    0.483491097581E+01    0.253448314360E+01    0.254700740276E+01
   -0.708000000000E+01    0.396217505542E+01    0.396217505542E+01    0.250409348828E+01    0.251273721334E+01
   -0.704000000000E+01    0.316580262979E+01    0.316580262979E+01    0.247596147486E+01    0.248041824063E+01
   -0.700000000000E+01    0.245024395822E+01    0.245024395822E+01    0.245024395822E+01    0.245024395822E+01
   -0.696000000000E+01    0.181809476873E+01    0.181809476873E+01    0.242708091576E+01    0.242240657900E+01
   -0.692000000000E+01    0.127029142691E+01    0.127029142691E+01    0.240654481483E+01    0.239709565862E+01
   -0.688000000000E+01    0.806306068440E+00    0.806306068440E+00    0.238869124529E+01    0.237449664504E+01
   -0.684000000000E+01    0.424338844428E+00    0.424338844428E+00    0.237357579700E+01    0.235478938212E+01
   -0.680000000000E+01    0.121504850020E+00    0.121504850020E+00    0.236125405982E+01    0.233814657634E+01
   -0.676000000000E+01   -0.105986298084E+00   -0.105986298084E+00    0.235178162360E+01    0.232473223614E+01
   -0.672000000000E+01   -0.262659901130E+00   -0.262659901130E+00    0.234521407820E+01    0.231470009439E+01
   -0.668000000000E+01   -0.353615960041E+00   -0.353615960041E+00    0.234160701348E+01    0.230819202472E+01
   -0.664000000000E+01   -0.384380311813E+00   -0.384380311813E+00    0.234101601929E+01    0.230533646352E+01
   -0.660000000000E+01   -0.360767848087E+00   -0.360767848087E+00    0.234349668550E+01    0.230624684958E+01
   -0.656000000000E+01   -0.288758286043E+00   -0.288758286043E+00    0.234910460195E+01    0.231102009380E+01
   -0.652000000000E+01   -0.174384731367E+00   -0.174384731367E+00    0.235789535851E+01    0.231973509211E+01
   -0.648000000000E+01   -0.236350687752E-01   -0.236350687751E-01    0.236992454504E+01    0.233245129457E+01
   -0.644000000000E+01    0.157633963499E+00    0.157633963499E+00    0.238524775138E+01    0.234920734415E+01
   -0.640000000000E+01    0.363770313837E+00    0.363770313837E+00    0.240392056741E+01    0.237001979863E+01
   -0.636000000000E+01    0.589388202753E+00    0.589388202753E+00    0.242599858297E+01    0.239488194911E+01
   -0.632000000000E+01    0.829418295208E+00    0.829418295208E+00    0.245153738792E+01    0.242376274843E+01
   -0.628000000000E+01    0.107914709157E+01    0.107914709157E+01    0.248059257212E+01    0.245660586273E+01
   -0.624000000000E+01    0.133424624087E+01    0.133424624087E+01    0.251321972543E+01    0.249332885884E+01
   -0.620000000000E+01    0.159079253437E+01    0.159079253437E+01    0.254947443770E+01    0.253382253987E+01
   -0.616000000000E+01    0.184527937605E+01    0.184527937605E+01    0.258941229880E+01    0.257795044073E+01
   -0.612000000000E+01    0.209462055072E+01    0.209462055072E+01    0.263308889857E+01    0.262554849469E+01
   -0.608000000000E+01    0.233614712166E+01    0.233614712166E+01    0.268055982688E+01    0.267642488115E+01
   -0.604000000000E+01    0.256759828887E+01    0.256759828887E+01    0.273188067358E+01    0.273036006396E+01
   -0.600000000000E+01    0.278710702853E+01    0.278710702853E+01    0.278710702853E+01    0.278710702853E+01
   -0.596000000000E+01    0.299318131409E+01    0.299318131409E+01    0.284619131894E+01    0.284639172490E+01
   -0.592000000000E+01    0.318468169178E+01    0.318468169178E+01    0.290867332138E+01    0.290791372244E+01
   -0.588000000000E+01    0.336079594932E+01    0.336079594932E+01    0.297398964979E+01    0.297134708092E+01
   -0.584000000000E+01    0.352101157631E+01    0.352101157631E+01    0.304157691809E+01    0.303634144065E+01
   -0.580000000000E+01    0.366508667114E+01    0.366508667114E+01    0.311087174022E+01    0.310252333343E+01
   -0.576000000000E+01    0.379301990109E+01    0.379301990109E+01    0.318131073011E+01    0.316949771399E+01
   -0.572000000000E+01    0.390502007212E+01    0.390502007212E+01    0.325233050167E+01    0.323684971013E+01
   -0.568000000000E+01    0.400147581296E+01    0.400147581296E+01    0.332336766885E+01    0.330414658803E+01
   -0.564000000000E+01    0.408292582489E+01    0.408292582489E+01    0.339385884558E+01    0.337093992726E+01
   -0.560000000000E+01    0.415003009526E+01    0.415003009526E+01    0.346324064577E+01    0.343676799840E+01
   -0.556000000000E+01    0.420354242016E+01    0.420354242016E+01    0.353094968337E+01    0.350115833422E+01
   -0.552000000000E+01    0.424428452909E+01    0.424428452909E+01    0.359642257229E+01    0.356363048346E+01
   -0.548000000000E+01    0.427312205416E+01    0.427312205416E+01    0.365909592648E+01    0.362369893476E+01
   -0.544000000000E+01    0.429094253738E+01    0.429094253738E+01    0.371840635985E+01    0.368087619603E+01
   -0.540000000000E+01    0.429863562276E+01    0.429863562276E+01    0.377379048635E+01    0.373467601308E+01
   -0.536000000000E+01    0.429707553593E+01    0.429707553593E+01    0.382468491989E+01    0.378461670970E+01
   -0.532000000000E+01    0.428710591256E+01    0.428710591256E+01    0.387052627441E+01    0.383022462945E+01
   -0.528000000000E+01    0.426952699810E+01    0.426952699810E+01    0.391075116384E+01    0.387103765814E+01
   -0.524000000000E+01    0.424508520641E+01    0.424508520641E+01    0.394479620210E+01    0.390660880456E+01
   -0.520000000000E+01    0.421446499235E+01    0.421446499235E+01    0.397209800313E+01    0.393650981549E+01
   -0.516000000000E+01    0.417828296477E+01    0.417828296477E+01    0.399209318085E+01    0.396033480011E+01
   -0.512000000000E+01    0.413708414064E+01    0.413708414064E+01    0.400421834919E+01    0.397770383772E+01
   -0.508000000000E+01    0.409134021916E+01    0.409134021916E+01    0.400791012209E+01    0.398826654201E+01
   -0.504000000000E+01    0.404144973532E+01    0.404144973532E+01    0.400260511348E+01    0.399170555421E+01
   -0.500000000000E+01    0.398773993727E+01    0.398773993727E+01    0.398773993727E+01    0.398773993727E+01
   -0.496000000000E+01    0.393047021866E+01    0.393047021866E+01    0.396293160701E+01    0.397612844260E+01
   -0.492000000000E+01    0.386983692817E+01    0.386983692817E+01    0.392851873458E+01    0.395667262113E+01
   -0.488000000000E+01    0.380597937131E+01    0.380597937131E+01    0.388502033151E+01    0.392921975040E+01
   -0.484000000000E+01    0.373898681600E+01    0.373898681600E+01    0.383295540928E+01    0.389366554988E+01
   -0.480000000000E+01    0.366890631180E+01    0.366890631180E+01    0.377284297941E+01    0.384995665718E+01
   -0.476000000000E+01    0.359575113389E+01    0.359575113389E+01    0.370520205340E+01    0.379809283884E+01
   -0.472000000000E+01    0.351950966599E+01    0.351950966599E+01    0.363055164274E+01    0.373812891022E+01
   -0.468000000000E+01    0.344015454189E+01    0.344015454189E+01    0.354941075895E+01    0.367017634057E+01
   -0.464000000000E+01    0.335765187198E+01    0.335765187198E+01    0.346229841352E+01    0.359440452070E+01
   -0.460000000000E+01    0.327197039021E+01    0.327197039021E+01    0.336973361796E+01    0.351104167240E+01
   -0.456000000000E+01    0.318309036686E+01    0.318309036686E+01    0.327223538377E+01    0.342037538094E+01
   -0.452000000000E+01    0.309101214372E+01    0.309101214372E+01    0.317032272245E+01    0.332275273407E+01
   -0.448000000000E+01    0.299576416094E+01    0.299576416094E+01    0.306451464551E+01    0.321858005311E+01
   -0.444000000000E+01    0.289741035768E+01    0.289741035768E+01    0.295533016445E+01    0.310832220471E+01
   -0.440000000000E+01    0.279605684264E+01    0.279605684264E+01    0.284328829078E+01    0.299250148425E+01
   -0.436000000000E+01    0.269185774490E+01    0.269185774490E+01    0.272890803598E+01    0.287169606495E+01
   -0.432000000000E+01    0.258502017002E+01    0.258502017002E+01    0.261270841158E+01    0.274653800970E+01
   -0.428000000000E+01    0.247580820092E+01    0.247580820092E+01    0.249520842907E+01    0.261771084587E+01
   -0.424000000000E+01    0.236454589808E+01    0.236454589808E+01    0.237692709995E+01    0.248594670651E+01
   -0.420000000000E+01    0.225161926759E+01    0.225161926759E+01    0.225838343573E+01    0.235202304481E+01
   -0.416000000000E+01    0.213747718028E+01    0.213747718028E+01    0.214009644791E+01    0.221675893198E+01
   -0.412000000000E+01    0.202263123852E+01    0.202263123852E+01    0.202258514800E+01    0.208101095201E+01
   -0.408000000000E+01    0.190765460061E+01    0.190765460061E+01    0.190636854749E+01    0.194566871055E+01
   -0.404000000000E+01    0.179317978532E+01    0.179317978532E+01    0.179196565789E+01    0.181164997800E+01
   -0.400000000000E+01    0.167989549070E+01    0.167989549070E+01    0.167989549070E+01    0.167989549070E+01
   -0.396000000000E+01    0.156854247243E+01    0.156854247243E+01    0.157070651443E+01    0.155136343687E+01
