 # Paso_MC    Energia    Magnetizacion
       77300  -31618.0000       9062.00000    
       77400  -31626.0000       9110.00000    
       77500  -31646.0000       9086.00000    
       77600  -31634.0000       9110.00000    
       77700  -31922.0000       9234.00000    
       77800  -32002.0000       9240.00000    
       77900  -31386.0000       9022.00000    
       78000  -31898.0000       9202.00000    
       78100  -31610.0000       9072.00000    
       78200  -31610.0000       9076.00000    
       78300  -31882.0000       9216.00000    
       78400  -31750.0000       9134.00000    
       78500  -31866.0000       9200.00000    
       78600  -31726.0000       9102.00000    
       78700  -31970.0000       9232.00000    
       78800  -31698.0000       9110.00000    
       78900  -31678.0000       9124.00000    
       79000  -31750.0000       9160.00000    
       79100  -31598.0000       9078.00000    
       79200  -31774.0000       9076.00000    
       79300  -31678.0000       9176.00000    
       79400  -31706.0000       9076.00000    
       79500  -31530.0000       8980.00000    
       79600  -31898.0000       9186.00000    
       79700  -31926.0000       9230.00000    
       79800  -31950.0000       9214.00000    
       79900  -31926.0000       9248.00000    
       80000  -31266.0000       8726.00000    
       80100  -31634.0000       9030.00000    
       80200  -31706.0000       9144.00000    
       80300  -31882.0000       9206.00000    
       80400  -31402.0000       8974.00000    
       80500  -31438.0000       8956.00000    
       80600  -31754.0000       9154.00000    
       80700  -31746.0000       9098.00000    
       80800  -31826.0000       9164.00000    
       80900  -31638.0000       9066.00000    
       81000  -31518.0000       9024.00000    
       81100  -31302.0000       8812.00000    
       81200  -31730.0000       9052.00000    
       81300  -31634.0000       8974.00000    
       81400  -32086.0000       9238.00000    
       81500  -31910.0000       9192.00000    
       81600  -31890.0000       9204.00000    
       81700  -31734.0000       9130.00000    
       81800  -31806.0000       9152.00000    
       81900  -31778.0000       9190.00000    
       82000  -31618.0000       9058.00000    
       82100  -31670.0000       9090.00000    
       82200  -31842.0000       9160.00000    
       82300  -31522.0000       8966.00000    
       82400  -31966.0000       9222.00000    
       82500  -31558.0000       9048.00000    
       82600  -31734.0000       9096.00000    
       82700  -31862.0000       9160.00000    
       82800  -31782.0000       9122.00000    
       82900  -31994.0000       9256.00000    
       83000  -31786.0000       9002.00000    
       83100  -31818.0000       9146.00000    
       83200  -31474.0000       9018.00000    
       83300  -31850.0000       9118.00000    
       83400  -31338.0000       8868.00000    
       83500  -31742.0000       9158.00000    
       83600  -31718.0000       9046.00000    
       83700  -31730.0000       9150.00000    
       83800  -31634.0000       9060.00000    
       83900  -31750.0000       9094.00000    
       84000  -32290.0000       9302.00000    
       84100  -31466.0000       8980.00000    
       84200  -31834.0000       9202.00000    
       84300  -31630.0000       9086.00000    
       84400  -31802.0000       9140.00000    
       84500  -31682.0000       9112.00000    
       84600  -31654.0000       9094.00000    
       84700  -31866.0000       9106.00000    
       84800  -31582.0000       9066.00000    
       84900  -31754.0000       9168.00000    
       85000  -31770.0000       9078.00000    
       85100  -32370.0000       9386.00000    
       85200  -31874.0000       9180.00000    
       85300  -31842.0000       9152.00000    
       85400  -31686.0000       9126.00000    
       85500  -31898.0000       9130.00000    
       85600  -31706.0000       9140.00000    
       85700  -31502.0000       8960.00000    
       85800  -31502.0000       8974.00000    
       85900  -31734.0000       9144.00000    
       86000  -31978.0000       9214.00000    
       86100  -31782.0000       9100.00000    
       86200  -31586.0000       9078.00000    
       86300  -31858.0000       9154.00000    
       86400  -31746.0000       9000.00000    
       86500  -31534.0000       8996.00000    
       86600  -31626.0000       9122.00000    
       86700  -31682.0000       9052.00000    
       86800  -31574.0000       9092.00000    
       86900  -32050.0000       9244.00000    
       87000  -31906.0000       9222.00000    
       87100  -31566.0000       9014.00000    
       87200  -31662.0000       9106.00000    
       87300  -31786.0000       9130.00000    
       87400  -31738.0000       9154.00000    
       87500  -31522.0000       9036.00000    
       87600  -31714.0000       9078.00000    
       87700  -31750.0000       9110.00000    
       87800  -31750.0000       9108.00000    
       87900  -31870.0000       9176.00000    
       88000  -31806.0000       9040.00000    
       88100  -31506.0000       9010.00000    
       88200  -31378.0000       8930.00000    
       88300  -31674.0000       9110.00000    
       88400  -31670.0000       9124.00000    
       88500  -31914.0000       9200.00000    
       88600  -31502.0000       8976.00000    
       88700  -31774.0000       9062.00000    
       88800  -31810.0000       9158.00000    
       88900  -31634.0000       9098.00000    
       89000  -31518.0000       8930.00000    
       89100  -31654.0000       9092.00000    
       89200  -31934.0000       9194.00000    
       89300  -31806.0000       9220.00000    
       89400  -31758.0000       9138.00000    
       89500  -31738.0000       9068.00000    
       89600  -31778.0000       9132.00000    
       89700  -31578.0000       9034.00000    
       89800  -31586.0000       9072.00000    
       89900  -31566.0000       9062.00000    
       90000  -32046.0000       9214.00000    
       90100  -31922.0000       9194.00000    
       90200  -31622.0000       9038.00000    
       90300  -31674.0000       9056.00000    
       90400  -31690.0000       9144.00000    
       90500  -31774.0000       9114.00000    
       90600  -32014.0000       9270.00000    
       90700  -31802.0000       9196.00000    
       90800  -31574.0000       9002.00000    
       90900  -31714.0000       9160.00000    
       91000  -31610.0000       9064.00000    
       91100  -31986.0000       9258.00000    
       91200  -31942.0000       9244.00000    
       91300  -31894.0000       9200.00000    
       91400  -31686.0000       9044.00000    
       91500  -31814.0000       9168.00000    
       91600  -31670.0000       9062.00000    
       91700  -32010.0000       9226.00000    
       91800  -31906.0000       9232.00000    
       91900  -31858.0000       9190.00000    
       92000  -31842.0000       9162.00000    
       92100  -31790.0000       9192.00000    
       92200  -31822.0000       9148.00000    
       92300  -31878.0000       9218.00000    
       92400  -31826.0000       9184.00000    
       92500  -31922.0000       9204.00000    
       92600  -31706.0000       9080.00000    
       92700  -31910.0000       9212.00000    
       92800  -31658.0000       9034.00000    
       92900  -31690.0000       9068.00000    
       93000  -31810.0000       9146.00000    
       93100  -31706.0000       9106.00000    
       93200  -31774.0000       9160.00000    
       93300  -31430.0000       9028.00000    
       93400  -31682.0000       9114.00000    
       93500  -31646.0000       9074.00000    
       93600  -31714.0000       9086.00000    
       93700  -31670.0000       9134.00000    
       93800  -31998.0000       9238.00000    
       93900  -32022.0000       9250.00000    
       94000  -31450.0000       8888.00000    
       94100  -31698.0000       9154.00000    
       94200  -31922.0000       9194.00000    
       94300  -31570.0000       9080.00000    
       94400  -32070.0000       9268.00000    
       94500  -31598.0000       9020.00000    
       94600  -31798.0000       9108.00000    
       94700  -31962.0000       9226.00000    
       94800  -31022.0000       8760.00000    
       94900  -31722.0000       9102.00000    
       95000  -31698.0000       9112.00000    
       95100  -31934.0000       9208.00000    
       95200  -31894.0000       9216.00000    
       95300  -31582.0000       9064.00000    
       95400  -31626.0000       9070.00000    
       95500  -31810.0000       9190.00000    
       95600  -31726.0000       9144.00000    
       95700  -31678.0000       9144.00000    
       95800  -31662.0000       8966.00000    
       95900  -31822.0000       9126.00000    
       96000  -31266.0000       8892.00000    
       96100  -31770.0000       9120.00000    
       96200  -31534.0000       8992.00000    
       96300  -31610.0000       9066.00000    
       96400  -31934.0000       9236.00000    
       96500  -31930.0000       9242.00000    
       96600  -31502.0000       8860.00000    
       96700  -31374.0000       9044.00000    
       96800  -31806.0000       9114.00000    
       96900  -31702.0000       9126.00000    
       97000  -31806.0000       9200.00000    
       97100  -31482.0000       9042.00000    
       97200  -31506.0000       8952.00000    
       97300  -31562.0000       9058.00000    
       97400  -31750.0000       9096.00000    
       97500  -31518.0000       9034.00000    
       97600  -31838.0000       9188.00000    
       97700  -31666.0000       9090.00000    
       97800  -31746.0000       9130.00000    
       97900  -31702.0000       8998.00000    
       98000  -31842.0000       9168.00000    
       98100  -31654.0000       9078.00000    
       98200  -31762.0000       9116.00000    
       98300  -31338.0000       8978.00000    
       98400  -31806.0000       9118.00000    
       98500  -31726.0000       9098.00000    
       98600  -31430.0000       8956.00000    
       98700  -31574.0000       8992.00000    
       98800  -31610.0000       9094.00000    
       98900  -31854.0000       9184.00000    
       99000  -31670.0000       9098.00000    
       99100  -31678.0000       9050.00000    
       99200  -31550.0000       8948.00000    
       99300  -31746.0000       9128.00000    
       99400  -32002.0000       9258.00000    
       99500  -31942.0000       9200.00000    
       99600  -31786.0000       9172.00000    
       99700  -31634.0000       9096.00000    
       99800  -31822.0000       9156.00000    
       99900  -31938.0000       9164.00000    
      100000  -31766.0000       9160.00000    
