 # Paso_MC    Energia    Magnetizacion
       17800  -31426.0000       8948.00000    
       17900  -31634.0000       9008.00000    
       18000  -31426.0000       9024.00000    
       18100  -31814.0000       9086.00000    
       18200  -31634.0000       9052.00000    
       18300  -31762.0000       9072.00000    
       18400  -31910.0000       9236.00000    
       18500  -31738.0000       9050.00000    
       18600  -31886.0000       9242.00000    
       18700  -31490.0000       8974.00000    
       18800  -31410.0000       8914.00000    
       18900  -31486.0000       9024.00000    
       19000  -31854.0000       9150.00000    
       19100  -31922.0000       9164.00000    
       19200  -31654.0000       9120.00000    
       19300  -31630.0000       9126.00000    
       19400  -31654.0000       9104.00000    
       19500  -31574.0000       9130.00000    
       19600  -31794.0000       9146.00000    
       19700  -31734.0000       9138.00000    
       19800  -31362.0000       8920.00000    
       19900  -31742.0000       9186.00000    
       20000  -31702.0000       9158.00000    
       20100  -31574.0000       9044.00000    
       20200  -31794.0000       9136.00000    
       20300  -31822.0000       9142.00000    
       20400  -31558.0000       9052.00000    
       20500  -31882.0000       9182.00000    
       20600  -31686.0000       9118.00000    
       20700  -31830.0000       9210.00000    
       20800  -31574.0000       9038.00000    
       20900  -31442.0000       9068.00000    
       21000  -31870.0000       9150.00000    
       21100  -31754.0000       9110.00000    
       21200  -31770.0000       9104.00000    
       21300  -32134.0000       9266.00000    
       21400  -31918.0000       9242.00000    
       21500  -31882.0000       9168.00000    
       21600  -31722.0000       9146.00000    
       21700  -31718.0000       9092.00000    
       21800  -31962.0000       9206.00000    
       21900  -31706.0000       9042.00000    
       22000  -31894.0000       9176.00000    
       22100  -31926.0000       9222.00000    
       22200  -31842.0000       9138.00000    
       22300  -31878.0000       9172.00000    
       22400  -31670.0000       9166.00000    
       22500  -31486.0000       8982.00000    
       22600  -31722.0000       9080.00000    
       22700  -31798.0000       9168.00000    
       22800  -31414.0000       8986.00000    
       22900  -31794.0000       9160.00000    
       23000  -31414.0000       9002.00000    
       23100  -31774.0000       9138.00000    
       23200  -31778.0000       9076.00000    
       23300  -31734.0000       9126.00000    
       23400  -31694.0000       9126.00000    
       23500  -31782.0000       9068.00000    
       23600  -31666.0000       9068.00000    
       23700  -31606.0000       9102.00000    
       23800  -31558.0000       9070.00000    
       23900  -31690.0000       9054.00000    
       24000  -31650.0000       9088.00000    
       24100  -31826.0000       9098.00000    
       24200  -31858.0000       9212.00000    
       24300  -31686.0000       9080.00000    
       24400  -31738.0000       9118.00000    
       24500  -31818.0000       9122.00000    
       24600  -31846.0000       9124.00000    
       24700  -31806.0000       9192.00000    
       24800  -31686.0000       9030.00000    
       24900  -31930.0000       9180.00000    
       25000  -31818.0000       9102.00000    
       25100  -31858.0000       9152.00000    
       25200  -31834.0000       9184.00000    
       25300  -31794.0000       9180.00000    
       25400  -31570.0000       9010.00000    
       25500  -31846.0000       9110.00000    
       25600  -31850.0000       9156.00000    
       25700  -31790.0000       9112.00000    
       25800  -32066.0000       9280.00000    
       25900  -31854.0000       9162.00000    
       26000  -31830.0000       9010.00000    
       26100  -31582.0000       8954.00000    
       26200  -31594.0000       9060.00000    
       26300  -31978.0000       9212.00000    
       26400  -31838.0000       9134.00000    
       26500  -31762.0000       9144.00000    
       26600  -31754.0000       9172.00000    
       26700  -31618.0000       8996.00000    
       26800  -31966.0000       9192.00000    
       26900  -32046.0000       9262.00000    
       27000  -32078.0000       9258.00000    
       27100  -31794.0000       9174.00000    
       27200  -31842.0000       9104.00000    
       27300  -31590.0000       9054.00000    
       27400  -31634.0000       9072.00000    
       27500  -31686.0000       9060.00000    
       27600  -31490.0000       9030.00000    
       27700  -31578.0000       9084.00000    
       27800  -32038.0000       9236.00000    
       27900  -31766.0000       9144.00000    
       28000  -31842.0000       9228.00000    
       28100  -31878.0000       9112.00000    
       28200  -31890.0000       9214.00000    
       28300  -31750.0000       9090.00000    
       28400  -31702.0000       9122.00000    
       28500  -31674.0000       9128.00000    
       28600  -31730.0000       9156.00000    
       28700  -32034.0000       9258.00000    
       28800  -31690.0000       9074.00000    
       28900  -31606.0000       9074.00000    
       29000  -31926.0000       9248.00000    
       29100  -31918.0000       9122.00000    
       29200  -31830.0000       9130.00000    
       29300  -31738.0000       9070.00000    
       29400  -31406.0000       8982.00000    
       29500  -31478.0000       9052.00000    
       29600  -31454.0000       9016.00000    
       29700  -31702.0000       8850.00000    
       29800  -31814.0000       9180.00000    
       29900  -31702.0000       9094.00000    
       30000  -31130.0000       8780.00000    
       30100  -31818.0000       9172.00000    
       30200  -31710.0000       9130.00000    
       30300  -31782.0000       9104.00000    
       30400  -31726.0000       9156.00000    
       30500  -31766.0000       9072.00000    
       30600  -31746.0000       9134.00000    
       30700  -31790.0000       9136.00000    
       30800  -31658.0000       9098.00000    
       30900  -31842.0000       9230.00000    
       31000  -32018.0000       9232.00000    
       31100  -31470.0000       8968.00000    
       31200  -31910.0000       9162.00000    
       31300  -32030.0000       9224.00000    
       31400  -31886.0000       9194.00000    
       31500  -31978.0000       9242.00000    
       31600  -31490.0000       8934.00000    
       31700  -31910.0000       9194.00000    
       31800  -31670.0000       9016.00000    
       31900  -31674.0000       9036.00000    
       32000  -31954.0000       9188.00000    
       32100  -31838.0000       9154.00000    
       32200  -31830.0000       9164.00000    
       32300  -31874.0000       9190.00000    
       32400  -31786.0000       9164.00000    
       32500  -31298.0000       8966.00000    
       32600  -31422.0000       8976.00000    
       32700  -31666.0000       9128.00000    
       32800  -31782.0000       9060.00000    
       32900  -31798.0000       9158.00000    
       33000  -31886.0000       9206.00000    
       33100  -31766.0000       9192.00000    
       33200  -31850.0000       9186.00000    
       33300  -31550.0000       9028.00000    
       33400  -31942.0000       9246.00000    
       33500  -31686.0000       9016.00000    
       33600  -31666.0000       9086.00000    
       33700  -31542.0000       9078.00000    
       33800  -31706.0000       9118.00000    
       33900  -31626.0000       9048.00000    
       34000  -31606.0000       9056.00000    
       34100  -31638.0000       8988.00000    
       34200  -31714.0000       9124.00000    
       34300  -31798.0000       9204.00000    
       34400  -31706.0000       9108.00000    
       34500  -31766.0000       9114.00000    
       34600  -31878.0000       9180.00000    
       34700  -31926.0000       9240.00000    
       34800  -32094.0000       9296.00000    
       34900  -31742.0000       9166.00000    
       35000  -31470.0000       9012.00000    
       35100  -31810.0000       9150.00000    
       35200  -31550.0000       9096.00000    
       35300  -32018.0000       9228.00000    
       35400  -31734.0000       9124.00000    
       35500  -31830.0000       9210.00000    
       35600  -31702.0000       9088.00000    
       35700  -31694.0000       9126.00000    
       35800  -31578.0000       9096.00000    
       35900  -31982.0000       9206.00000    
       36000  -31762.0000       9088.00000    
       36100  -31826.0000       9190.00000    
       36200  -31566.0000       8980.00000    
       36300  -31642.0000       9068.00000    
       36400  -31910.0000       9118.00000    
       36500  -31538.0000       9028.00000    
       36600  -31554.0000       8950.00000    
       36700  -31906.0000       9210.00000    
       36800  -31574.0000       9054.00000    
       36900  -31930.0000       9218.00000    
       37000  -31398.0000       9028.00000    
       37100  -31690.0000       9092.00000    
       37200  -31502.0000       8972.00000    
       37300  -31282.0000       8920.00000    
       37400  -31990.0000       9260.00000    
       37500  -31998.0000       9256.00000    
       37600  -32042.0000       9274.00000    
       37700  -32002.0000       9230.00000    
       37800  -31494.0000       9036.00000    
       37900  -31942.0000       9238.00000    
       38000  -31910.0000       9160.00000    
       38100  -31974.0000       9146.00000    
       38200  -32026.0000       9244.00000    
       38300  -31726.0000       9092.00000    
       38400  -31614.0000       9094.00000    
       38500  -31354.0000       8924.00000    
       38600  -31842.0000       9168.00000    
       38700  -31766.0000       9100.00000    
       38800  -31826.0000       9134.00000    
       38900  -31922.0000       9134.00000    
       39000  -31458.0000       9050.00000    
       39100  -32002.0000       9252.00000    
       39200  -31470.0000       8960.00000    
       39300  -31770.0000       9122.00000    
       39400  -31806.0000       9080.00000    
       39500  -31910.0000       9192.00000    
       39600  -31910.0000       9206.00000    
       39700  -31646.0000       9090.00000    
       39800  -31794.0000       9130.00000    
       39900  -31738.0000       9100.00000    
       40000  -31938.0000       9180.00000    
       40100  -31802.0000       9190.00000    
       40200  -31742.0000       9098.00000    
       40300  -31682.0000       9046.00000    
       40400  -31642.0000       9048.00000    
       40500  -31862.0000       9158.00000    
       40600  -31714.0000       9114.00000    
       40700  -31498.0000       9014.00000    
       40800  -31750.0000       9182.00000    
       40900  -31882.0000       9158.00000    
       41000  -31814.0000       9124.00000    
       41100  -31838.0000       9220.00000    
       41200  -31786.0000       9118.00000    
       41300  -32042.0000       9280.00000    
       41400  -31602.0000       9080.00000    
       41500  -32138.0000       9256.00000    
       41600  -31574.0000       8848.00000    
       41700  -31538.0000       9032.00000    
       41800  -31822.0000       9116.00000    
       41900  -31686.0000       9064.00000    
       42000  -31666.0000       9140.00000    
       42100  -31930.0000       9184.00000    
       42200  -31642.0000       9106.00000    
       42300  -31614.0000       8956.00000    
       42400  -31626.0000       9044.00000    
       42500  -32090.0000       9250.00000    
       42600  -31914.0000       9234.00000    
       42700  -31626.0000       9062.00000    
       42800  -32110.0000       9252.00000    
       42900  -31986.0000       9252.00000    
       43000  -31490.0000       9000.00000    
       43100  -31850.0000       9122.00000    
       43200  -32022.0000       9254.00000    
       43300  -31738.0000       9066.00000    
       43400  -32078.0000       9318.00000    
       43500  -31722.0000       9114.00000    
       43600  -31922.0000       9214.00000    
       43700  -31702.0000       8976.00000    
       43800  -31602.0000       8998.00000    
       43900  -31782.0000       9124.00000    
       44000  -31754.0000       9098.00000    
       44100  -31550.0000       9006.00000    
       44200  -31582.0000       9070.00000    
       44300  -31778.0000       9142.00000    
       44400  -31374.0000       8896.00000    
       44500  -31606.0000       9076.00000    
       44600  -31702.0000       9152.00000    
       44700  -31566.0000       9030.00000    
       44800  -31650.0000       9084.00000    
       44900  -31554.0000       9064.00000    
       45000  -31814.0000       9176.00000    
       45100  -31642.0000       9094.00000    
       45200  -31346.0000       9034.00000    
       45300  -31566.0000       9034.00000    
       45400  -31718.0000       9136.00000    
       45500  -31706.0000       9114.00000    
       45600  -31470.0000       8986.00000    
       45700  -31730.0000       9108.00000    
       45800  -31810.0000       9156.00000    
       45900  -31806.0000       9204.00000    
       46000  -31702.0000       9002.00000    
       46100  -32150.0000       9334.00000    
       46200  -31586.0000       9134.00000    
       46300  -31714.0000       9014.00000    
       46400  -31834.0000       9188.00000    
       46500  -31822.0000       9160.00000    
       46600  -31806.0000       9156.00000    
       46700  -31758.0000       9130.00000    
       46800  -31590.0000       9002.00000    
       46900  -31598.0000       9082.00000    
       47000  -31626.0000       9060.00000    
       47100  -31966.0000       9110.00000    
       47200  -31814.0000       9142.00000    
       47300  -31610.0000       9112.00000    
       47400  -31818.0000       9172.00000    
       47500  -31730.0000       9094.00000    
       47600  -31934.0000       9226.00000    
       47700  -31922.0000       9202.00000    
       47800  -31710.0000       9116.00000    
       47900  -31722.0000       9108.00000    
       48000  -31638.0000       9100.00000    
       48100  -31866.0000       9138.00000    
       48200  -31670.0000       9086.00000    
       48300  -31922.0000       9204.00000    
       48400  -31522.0000       9072.00000    
       48500  -31718.0000       9158.00000    
       48600  -31562.0000       9078.00000    
       48700  -31778.0000       9106.00000    
       48800  -31490.0000       9024.00000    
       48900  -31762.0000       9102.00000    
       49000  -31678.0000       9138.00000    
       49100  -31726.0000       9150.00000    
       49200  -31978.0000       9246.00000    
       49300  -31934.0000       9168.00000    
       49400  -31566.0000       9002.00000    
       49500  -31306.0000       8870.00000    
       49600  -31950.0000       9232.00000    
       49700  -31638.0000       9030.00000    
       49800  -31494.0000       9088.00000    
       49900  -31782.0000       9160.00000    
       50000  -31810.0000       9134.00000    
       50100  -31546.0000       9068.00000    
       50200  -31618.0000       8984.00000    
       50300  -31842.0000       9208.00000    
       50400  -31702.0000       9046.00000    
