 # T    <E>    <M>    Cv    Susceptibilidad    Aceptacion(%)
   1.0000000000000000       -34253.488480000000        9992.7303400000001        2.3423082733154299E-002   15.698163479566574        7.2563200000004324E-002
   1.1000000238418579       -1009543.6058000000        9984.4442400000007        4.1891482720468408E-002   32.086845496311071       0.15525709999996648     
   1.2000000476837158       -1004377.7784800000        9970.2074799999991        6.7445478377436557E-002   59.002057713685126       0.29731829999995968     
   1.2999999523162842       -1005358.4176400000        9947.6769399999994       0.10188653553463263        102.17052085979245       0.52186260000000129     
   1.3999999761581421       -999776.60999999999        9913.7977400000000       0.14595209112782689        170.42886782635736       0.85793650000003807     
   1.5000000000000000       -988312.56588000001        9864.8035199999995       0.19977190755208332        274.81805041432381        1.3401563999998227     
   1.6000000238418579       -989829.44672000001        9795.9025399999991       0.26329151799406048        433.04808202314251        2.0090166000002743     
   1.7000000476837158       -969087.40723999997        9700.6690400000007       0.34219075853934183        693.44820729043329        2.9169488999997202     
   1.7999999523162842       -947588.26156000001        9568.2726800000000       0.43981384723760203        1144.6230778826098        4.1362735000006063     
   1.8999999761581421       -946279.26280000003        9382.2517000000007       0.56807134389660097        2001.9638814905932        5.7585634999994380     
   2.0000000000000000       -919199.47496000002        9112.2811600000005       0.72485212707519531        3796.0685545280576        7.9168969000013041     
   2.0999999046325684       -889101.99523999996        8685.4050999999999       0.97582992316883077        9433.6378636408590        10.850997799999709     
   2.2000000476837158       -838405.72383999999        7843.3148000000001        1.3908730829270259        45407.407098075870        15.050256799999778     
   2.2999999523162842       -794551.53503999999        2841.2002400000001        1.9241234280253421        1254081.3387579129        22.716308900000705     
   2.4000000953674316       -665902.57548000000        1000.9946200000001        1.1347120548847986        220444.24149493931        28.177479900000158     
   2.5000000000000000       -609931.21828000003        647.06794000000002       0.85589804394531266        90363.521193662542        32.325911399998816     
   2.5999999046325684       -544257.53740000003        465.61738000000003       0.70056059700377649        47529.052497945864        35.797119400001229     
   2.7000000476837158       -540127.25344000000        384.21650000000000       0.60204245367802844        31700.760791162938        38.806196299998327     
   2.7999999523162842       -481391.28580000001        339.27679999999998       0.51045525985438878        22966.084913167240        41.502264300000448     
   2.9000000953674316       -461514.19027999998        299.15096000000000       0.45040971113723893        17614.604803868544        43.915613600000327     
   3.0000000000000000       -427845.08695999999        273.20715999999999       0.40010309312608505        14101.831801578135        46.108686399999115     
   3.0999999046325684       -430680.14396000002        250.86444000000000       0.36278445567611939        11355.398731103745        48.119817500001297     
   3.2000000476837158       -378907.92920000001        231.36797999999999       0.32503028795032823        9495.6643181034524        49.988743099999361     
   3.2999999523162842       -392270.04823999997        218.63813999999999       0.29588550732634655        8307.1821374114315        51.697786199997999     
   3.4000000953674316       -355481.60347999999        207.50811999999999       0.27052054171298440        7187.8133907595020        53.291066000000285     
   3.5000000000000000       -354165.17651999998        198.87692000000001       0.24696820479412465        6384.9616375181704        54.775397400001268     
   3.5999999046325684       -328370.33903999999        188.84039999999999       0.22744992766585947        5667.2346967526728        56.169480299999961     
   3.7000000476837158       -332981.18343999999        183.28222000000000       0.21115578920131411        5179.3352067301767        57.471697499998072     
   3.7999999523162842       -306539.06572000001        175.85710000000000       0.19738343477947262        4615.0802946458361        58.697240799999520     
   3.9000000953674316       -302109.71756000002        170.65214000000000       0.18265297341899628        4198.5424289785105        59.846514600000191     
   4.0000000000000000       -293366.31260000000        164.57357999999999       0.17094081420898438        3810.6671214958997        60.937734200001906     
